,District,Population,Males,Females,Districtcode
0,Bargarh,1207801,611375,596426,370
1,Jharsuguda,442730,227517,215213,371
2,Sambalpur,819491,416153,403338,372
3,Debagarh,234240,118277,115963,373
4,Sundargarh,1574637,804748,769889,374
5,Kendujhar,1337434,676458,660976,375
6,Mayurbhanj,1886042,952752,933290,376
7,Baleshwar,1697843,869264,828579,377
8,Bhadrak,1107121,560838,546283,378
9,Kendrapara ,1149673,570806,578867,379
10,Jagatsinghapur ,934714,476253,458461,380
11,Cuttack,2053591,1059457,994134,381
12,Jajapur  ,1387377,703576,683801,382
13,Dhenkanal,948673,483728,464945,383
14,Anugul  ,961622,495347,466275,384
15,Nayagarh  ,783147,404182,378965,385
16,Khordha ,1504443,790837,713606,386
17,Puri,1308956,664972,643984,387
18,Ganjam,2724450,1363663,1360787,388
19,Gajapati,455040,224015,231025,389
20,Kandhamal,546543,272174,274369,390
21,Baudh,317898,160200,157698,391
22,Subarnapur,477850,243055,234795,392
23,Balangir,1232209,621069,611140,393
24,Nuapada,469637,233978,235659,394
25,Kalahandi,1131870,565747,566123,395
26,Rayagada  ,721010,355506,365504,396
27,Nabarangapur ,852956,428373,424583,397
28,Koraput,1031935,516338,515597,398
29,Malkangiri  ,443406,222062,221344,399
