,State,Districtcode,Subdistcode,Townvillagecode,Wardcode,Enumerationblockcode,Level,District,Households,Population,Males,Females,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILLITERATE,M_ILLITERATE,F_ILLITERATE,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,5-9,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,21,370,0,0,0,0,DISTRICT,Bargarh,370308,1481255,749161,732094,162922,83267,79655,298780,150420,148360,281135,140542,140593,983783,557217,426566,497472,191944,305528,762092,473305,288787,474390,372806,101584,173496,153167,20329,152438,103347,49091,34886,23513,11373,113570,92779,20791,287702,100499,187203,42917,15194,27723,208212,68350,139862,13259,4130,9129,23314,12825,10489,239923,84298,155625,34087,12196,21891,175824,58382,117442,11121,3289,7832,18891,10431,8460,47779,16201,31578,8830,2998,5832,32388,9968,22420,2138,841,1297,4423,2394,2029,719163,275856,443307,115650,142008,150319,138061,125242,111936,111463,100145,86461,115753,70225,57034,56442,39567,30962,13564,14628,1795
1,21,371,0,0,0,0,DISTRICT,Jharsuguda,136061,579505,296690,282815,64794,33341,31453,104620,52580,52040,176758,88273,88485,405879,228092,177787,173626,68598,105028,247707,172018,75689,172069,137683,34386,32716,28281,4435,21048,13460,7588,9320,4250,5070,108985,91692,17293,75638,34335,41303,8151,4320,3831,35761,13304,22457,6516,1652,4864,25210,15059,10151,62169,28635,33534,6633,3696,2937,29815,11206,18609,5315,1344,3971,20406,12389,8017,13469,5700,7769,1518,624,894,5946,2098,3848,1201,308,893,4804,2670,2134,331798,124672,207126,45489,55856,58206,59195,53591,45174,43248,37874,33181,47819,25892,20440,19060,13039,9758,4859,5507,1317
2,21,372,0,0,0,0,DISTRICT,Sambalpur,249597,1041099,526877,514222,117848,60744,57104,191827,96511,95316,355261,177565,177696,703691,393192,310499,337408,133685,203723,505840,313161,192679,336854,242724,94130,72629,61066,11563,73078,46353,26725,34007,10304,23703,157140,125001,32139,168986,70437,98549,14171,7684,6487,87720,34544,53176,25281,3582,21699,41814,24627,17187,142578,60207,82371,11909,6659,5250,74771,29776,44995,21342,2949,18393,34556,20823,13733,26408,10230,16178,2262,1025,1237,12949,4768,8181,3939,633,3306,7258,3804,3454,535259,213716,321543,82235,100994,102645,99995,91387,78573,77162,69582,61258,88444,48818,39086,37418,24440,18843,8668,9453,2098
3,21,373,0,0,0,0,DISTRICT,Debagarh,75452,312520,158230,154290,39917,20718,19199,52112,26343,25769,110400,55126,55274,197819,112649,85170,114701,45581,69120,165435,92384,73051,83408,59636,23772,32084,24947,7137,24462,14941,9521,4772,2595,2177,22090,17153,4937,82027,32748,49279,10576,4794,5782,58028,21704,36324,3315,1210,2105,10108,5040,5068,65870,26603,39267,8100,3819,4281,47390,17689,29701,2615,993,1622,7765,4102,3663,16157,6145,10012,2476,975,1501,10638,4015,6623,700,217,483,2343,938,1405,147085,65846,81239,27674,34337,29783,27793,26536,23066,22295,19509,16919,29939,13680,11512,11426,7041,5505,2279,2546,680
4,21,374,0,0,0,0,DISTRICT,Sundargarh,479109,2093437,1061147,1032290,263160,135204,127956,191660,96465,95195,1062349,526856,535493,1342322,750147,592175,751115,311000,440115,873227,584687,288540,535112,430698,104414,132555,111715,20840,59287,37982,21305,16490,13009,3481,326780,267992,58788,338115,153989,184126,51718,29905,21813,194040,67412,126628,10480,4998,5482,81877,51674,30203,266709,123577,143132,40914,24868,16046,155927,54702,101225,7659,3827,3832,62209,40180,22029,71406,30412,40994,10804,5037,5767,38113,12710,25403,2821,1171,1650,19668,11494,8174,1220210,476460,743750,182414,218517,203116,196990,182809,158628,156796,137793,120021,205072,90022,70444,64229,42442,30573,13114,13612,6845
5,21,375,0,0,0,0,DISTRICT,Kendujhar,405272,1801733,906487,895246,259403,131885,127518,209357,104684,104673,818878,405927,412951,1052518,605119,447399,749215,301368,447847,766514,498077,268437,442497,362695,79802,158838,142255,16583,84638,54786,29852,12007,8812,3195,187014,156842,30172,324017,135382,188635,39206,23226,15980,225437,77830,147607,9307,3476,5831,50067,30850,19217,262422,110695,151727,33211,19948,13263,184316,63223,121093,7235,2833,4402,37660,24691,12969,61595,24687,36908,5995,3278,2717,41121,14607,26514,2072,643,1429,12407,6159,6248,1035219,408410,626809,179917,186946,162254,161187,153775,132107,127006,113969,99826,194811,77714,61065,58644,35730,26247,11396,11955,7184
6,21,376,0,0,0,0,DISTRICT,Mayurbhanj,586253,2519738,1256213,1263525,351834,179536,172298,184682,92127,92555,1479576,730487,749089,1369397,794171,575226,1150341,462042,688299,1223534,697782,525752,548390,407902,140488,171380,149432,21948,145285,89712,55573,35730,17663,18067,195995,151095,44900,675144,289880,385264,67392,43840,23552,423470,168487,254983,78078,17979,60099,106204,59574,46630,538265,237477,300788,56508,37791,18717,341244,138585,202659,58874,13462,45412,81639,47639,34000,136879,52403,84476,10884,6049,4835,82226,29902,52324,19204,4517,14687,24565,11935,12630,1296204,558431,737773,237468,286358,229826,212210,200494,171826,174957,160485,142867,283373,112812,88348,84912,53895,39165,17282,17662,5798
7,21,377,0,0,0,0,DISTRICT,Baleshwar,533001,2320529,1185787,1134742,288672,148565,140107,478586,243597,234989,275678,137748,137930,1621232,902359,718873,699297,283428,415869,932707,684020,248687,618064,540777,77287,227102,216254,10848,165636,133637,31999,17203,13887,3316,208123,176999,31124,314643,143243,171400,61716,26272,35444,192578,85902,106676,11533,4737,6796,48816,26332,22484,237592,115580,122012,40426,19362,21064,147987,69999,77988,8799,3960,4839,40380,22259,18121,77051,27663,49388,21290,6910,14380,44591,15903,28688,2734,777,1957,8436,4073,4363,1387822,501767,886055,197458,243440,214714,209861,210463,178885,170873,145554,127263,227892,100352,77071,73505,52635,41805,21662,23581,3515
8,21,378,0,0,0,0,DISTRICT,Bhadrak,306333,1506337,760260,746077,184560,95048,89512,334896,168687,166209,30428,15361,15067,1094140,596269,497871,412197,163991,248206,468599,409559,59040,328097,302986,25111,130597,126524,4073,75320,69718,5602,8648,7514,1134,113532,99230,14302,140502,106573,33929,25359,20620,4739,76057,60437,15620,5803,3393,2410,33283,22123,11160,114225,88612,25613,20139,16956,3183,61853,50327,11526,4424,2814,1610,27809,18515,9294,26277,17961,8316,5220,3664,1556,14204,10110,4094,1379,579,800,5474,3608,1866,1037738,350701,687037,127909,162454,147509,140434,130406,111249,106288,93693,82399,139948,67111,50226,45959,33684,31040,15626,16840,3562
9,21,379,0,0,0,0,DISTRICT,Kendrapara ,321934,1440361,717814,722547,161159,83654,77505,309780,155531,154249,9484,4748,4736,1089265,579970,509295,351096,137844,213252,466890,386382,80508,322265,295890,26375,122975,119443,3532,70136,65120,5016,9261,8045,1216,119893,103282,16611,144625,90492,54133,26289,15930,10359,73728,50013,23715,7283,3346,3937,37325,21203,16122,118117,78091,40026,20376,13789,6587,60656,43374,17282,5831,2785,3046,31254,18143,13111,26508,12401,14107,5913,2141,3772,13072,6639,6433,1452,561,891,6071,3060,3011,973471,331432,642039,112440,146260,135500,130371,123271,104557,100528,89502,79972,123442,66529,55056,53511,39772,35477,20388,20161,3624
