,State,Districtcode,Subdistcode,Town/Village,Ward,EB,Level,Subdistrict,TRU,No_HH,Population,Males,Females,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
0,21,370,2755,0,0,0,SUB-DISTRICT,Paikamal,Total,22369,91916,45732,46184,11791,5972,5819,13544,6754,6790,35209,17525,17684,52917,30855,22062,38999,14877,24122,46853,26955,19898,25292,19400,5892,9893,8784,1109,10334,6594,3740,476,399,77,4589,3623,966,21561,7555,14006,2767,1165,1602,17373,5640,11733,276,103,173,1145,647,498,18373,6451,11922,2294,991,1303,14968,4882,10086,233,82,151,878,496,382,3188,1104,2084,473,174,299,2405,758,1647,43,21,22,267,151,116,45063,18777,26286
1,21,370,2756,0,0,0,SUB-DISTRICT,Jharbandha,Total,25578,103676,51217,52459,12918,6570,6348,16034,7777,8257,29886,14755,15131,61345,35017,26328,42331,16200,26131,57413,31362,26051,29937,23286,6651,15353,13103,2250,11028,7381,3647,439,355,84,3117,2447,670,27476,8076,19400,3983,1282,2701,22432,6329,16103,393,117,276,668,348,320,23071,6741,16330,3135,1062,2073,19063,5301,13762,325,91,234,548,287,261,4405,1335,3070,848,220,628,3369,1028,2341,68,26,42,120,61,59,46263,19855,26408
2,21,370,2757,0,0,0,SUB-DISTRICT,Padmapur,Total,19586,81259,40861,40398,9008,4755,4253,13557,6764,6793,17154,8550,8604,53092,29664,23428,28167,11197,16970,41705,25213,16492,24151,18950,5201,6045,5343,702,7788,5408,2380,2269,1525,744,8049,6674,1375,17554,6263,11291,2762,1062,1700,13001,4323,8678,714,224,490,1077,654,423,15059,5572,9487,1991,866,1125,11576,3971,7605,595,184,411,897,551,346,2495,691,1804,771,196,575,1425,352,1073,119,40,79,180,103,77,39554,15648,23906
3,21,370,2758,0,0,0,SUB-DISTRICT,BurdenP.S.,Total,8561,33259,16441,16818,4199,2089,2110,5823,2863,2960,8679,4201,4478,19772,11277,8495,13487,5164,8323,18096,10457,7639,10189,7922,2267,3911,3488,423,3229,2290,939,1380,842,538,1669,1302,367,7907,2535,5372,1141,392,749,5680,1692,3988,242,83,159,844,368,476,6736,2165,4571,1043,340,703,4899,1480,3419,206,66,140,588,279,309,1171,370,801,98,52,46,781,212,569,36,17,19,256,89,167,15163,5984,9179
4,21,370,2759,0,0,0,SUB-DISTRICT,Gaisilet,Total,20996,77443,38755,38688,9740,4907,4833,12279,6135,6144,15241,7603,7638,46192,26608,19584,31251,12147,19104,42712,24274,18438,17056,14662,2394,8334,8034,300,5437,4124,1313,495,359,136,2790,2145,645,25656,9612,16044,3142,1476,1666,20936,7259,13677,419,187,232,1159,690,469,20483,7820,12663,2588,1246,1342,16820,5966,10854,361,158,203,714,450,264,5173,1792,3381,554,230,324,4116,1293,2823,58,29,29,445,240,205,34731,14481,20250
5,21,370,2760,0,0,0,SUB-DISTRICT,Melchhamunda,Total,18224,70239,35255,34984,7691,3862,3829,13739,6881,6858,12949,6492,6457,47285,26642,20643,22954,8613,14341,46226,24445,21781,22326,17081,5245,10490,8453,2037,7091,4889,2202,1258,929,329,3487,2810,677,23900,7364,16536,5081,1771,3310,16809,4838,11971,1090,334,756,920,421,499,19492,5955,13537,3852,1317,2535,14040,4052,9988,856,233,623,744,353,391,4408,1409,2999,1229,454,775,2769,786,1983,234,101,133,176,68,108,24013,10810,13203
6,21,370,2761,0,0,0,SUB-DISTRICT,Sohela,Total,27666,104566,52998,51568,11479,5856,5623,20789,10559,10230,20330,10203,10127,70755,40016,30739,33811,12982,20829,56964,34016,22948,32432,26266,6166,12907,11664,1243,10174,7278,2896,2915,2063,852,6436,5261,1175,24532,7750,16782,4782,1526,3256,16192,4925,11267,1569,423,1146,1989,876,1113,19922,6070,13852,3851,1157,2694,13203,3860,9343,1295,331,964,1573,722,851,4610,1680,2930,931,369,562,2989,1065,1924,274,92,182,416,154,262,47602,18982,28620
7,21,370,2762,0,0,0,SUB-DISTRICT,Bijepur,Total,28663,107374,54117,53257,11780,6039,5741,21999,10985,11014,14064,7044,7020,71459,40548,30911,35915,13569,22346,59515,35077,24438,34145,27110,7035,12383,11401,982,10550,7316,3234,5331,3745,1586,5881,4648,1233,25370,7967,17403,3605,1124,2481,18079,5482,12597,1935,505,1430,1751,856,895,19966,6075,13891,2688,806,1882,14388,4286,10102,1609,396,1213,1281,587,694,5404,1892,3512,917,318,599,3691,1196,2495,326,109,217,470,269,201,47859,19040,28819
8,21,370,2763,0,0,0,SUB-DISTRICT,Barapali,Total,33101,128271,65595,62676,13377,6762,6615,27231,13859,13372,15869,8048,7821,87907,50328,37579,40364,15267,25097,67258,42193,25065,42304,33471,8833,15728,14275,1453,11092,7340,3752,4965,3267,1698,10519,8589,1930,24954,8722,16232,3712,1304,2408,16627,5431,11196,2167,604,1563,2448,1383,1065,20781,7531,13250,2830,1066,1764,14094,4816,9278,1878,492,1386,1979,1157,822,4173,1191,2982,882,238,644,2533,615,1918,289,112,177,469,226,243,61013,23402,37611
9,21,370,2764,0,0,0,SUB-DISTRICT,Bheden,Total,31968,127400,65064,62336,12632,6511,6121,33191,16899,16292,16251,8139,8112,88112,50269,37843,39288,14795,24493,63232,42291,20941,42126,33553,8573,16729,15376,1353,16819,11531,5288,2525,1694,831,6053,4952,1101,21106,8738,12368,1455,565,890,17656,7078,10578,497,178,319,1498,917,581,17705,7551,10154,1127,454,673,14948,6193,8755,408,161,247,1222,743,479,3401,1187,2214,328,111,217,2708,885,1823,89,17,72,276,174,102,64168,22773,41395
