,Districtcode,Population,Males,Females,District
0,370,1618588,818620,799968,Bargarh
1,371,647428,331462,315966,Jharsuguda
2,372,1153678,583854,569824,Sambalpur
3,373,351902,178171,173731,Debagarh
4,374,2351719,1192068,1159651,Sundargarh
5,375,2031353,1022016,1009337,Kendujhar
6,376,2843446,1417601,1425845,Mayurbhanj
7,377,2636981,1347495,1289486,Baleshwar
8,378,1714951,865551,849400,Bhadrak
9,379,1588034,791409,796625,Kendrapara 
10,380,1245363,632957,612406,Jagatsinghapur 
11,381,2910602,1500246,1410356,Cuttack
12,382,2052787,1040369,1012418,Jajapur  
13,383,1313592,674624,638968,Dhenkanal
14,384,1465648,755346,710302,Anugul  
15,385,1049794,548058,501736,Nayagarh  
16,386,2625067,1360683,1264384,Khordha 
17,387,1893233,964464,928769,Puri
18,388,3942623,1987739,1954884,Ganjam
19,389,621271,304516,316755,Gajapati
20,390,829189,407117,422072,Kandhamal
21,391,500741,251556,249185,Baudh
22,392,675624,344700,330924,Subarnapur
23,393,1822921,917652,905269,Balangir
24,394,677649,335239,342410,Nuapada
25,395,1793078,895025,898053,Kalahandi
26,396,1086911,529987,556924,Rayagada  
27,397,1401216,694110,707106,Nabarangapur 
28,398,1545121,760227,784894,Koraput
29,399,690054,341683,348371,Malkangiri  
