,Unnamed: 0,District,Population,Males,Females,Districtcode,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,Bargarh,1207801,611375,596426,370,94299,94383,115791,122568,112573,102121,91271,90885,81657,70499,57260,46504,46022,32262,25246,11059,11927,1463
1,1,Jharsuguda,442730,227517,215213,371,34752,36532,42672,44468,45223,40942,34512,33040,28934,25349,19780,15615,14561,9961,7454,3712,4207,1006
2,2,Sambalpur,819491,416153,403338,372,64730,69617,79496,80796,78710,71934,61847,60737,54770,48218,38426,30766,29453,19237,14832,6822,7440,1651
3,3,Debagarh,234240,118277,115963,373,20742,22439,25736,22322,20831,19889,17288,16710,14622,12681,10253,8628,8564,5277,4126,1708,1908,509
4,4,Sundargarh,1574637,804748,769889,374,137207,154250,164363,152779,148171,137504,119316,117938,103644,90277,67712,52986,48311,31923,22996,9864,10238,5148
5,5,Kendujhar,1337434,676458,660976,375,133553,144609,138770,120441,119649,114147,98063,94277,84599,74101,57687,45328,43531,26522,19483,8459,8874,5332
6,6,Mayurbhanj,1886042,952752,933290,376,177746,212106,214341,172026,158840,150071,128612,130956,120124,106936,84440,66129,63557,40340,29315,12935,13220,4339
7,7,Baleshwar,1697843,869264,828579,377,144472,166739,178115,157098,153547,153987,130883,125021,106496,93113,73423,56389,53780,38511,30587,15849,17253,2571
8,8,Bhadrak,1107121,560838,546283,378,94009,102858,119399,108415,103215,95845,81765,78119,68862,60561,49324,36914,33778,24756,22813,11484,12376,2617
9,9,Kendrapara ,1149673,570806,578867,379,89747,98529,116742,108153,104060,98392,83455,80239,71439,63832,53102,43944,42711,31745,28317,16273,16092,2892
10,10,Jagatsinghapur ,934714,476253,458461,380,63422,70266,83997,83332,86756,87318,72903,69470,63128,55226,46524,38030,35134,25260,23587,13456,14287,2609
11,11,Cuttack,2053591,1059457,994134,381,149188,160998,186732,192384,195758,188732,162673,158841,139162,120774,95359,77736,72254,50861,43843,24447,26652,7186
12,12,Jajapur  ,1387377,703576,683801,382,114624,123110,138045,132357,135133,123727,103262,99257,85944,75535,61350,50435,48479,32726,28680,14890,16059,3756
13,13,Dhenkanal,948673,483728,464945,383,77868,82978,92761,88860,86066,81823,73418,71744,61470,52827,43194,36501,36141,23796,19032,8850,9362,1974
14,14,Anugul  ,961622,495347,466275,384,80593,87226,101320,92127,90441,83139,75094,72354,62246,52651,41436,33343,32723,20892,16683,7386,8719,3238
15,15,Nayagarh  ,783147,404182,378965,385,60375,68112,76690,69228,66687,67349,59469,59498,50257,43959,35614,32136,33114,21782,17650,9102,10836,1279
16,16,Khordha ,1504443,790837,713606,386,110020,124320,136378,141150,149089,140494,124196,120871,103006,88455,69233,55613,48668,31889,26143,13647,16517,4747
17,17,Puri,1308956,664972,643984,387,93160,105235,124378,118892,125127,117557,100744,99959,89370,77808,61487,48770,46992,34099,29279,15656,16966,3467
18,18,Ganjam,2724450,1363663,1360787,388,223103,262709,299500,271778,246733,224934,197830,196033,173888,146168,117027,93568,95448,63095,52990,24015,27289,8333
19,19,Gajapati,455040,224015,231025,389,46127,56594,52569,43080,38221,35404,30714,31400,27876,23444,18000,14142,15188,8806,6172,2300,2386,2610
20,20,Kandhamal,546543,272174,274369,390,55628,67875,64410,48048,46409,43136,35269,35817,33082,28137,22171,18335,21660,11747,7669,3120,3099,922
21,21,Baudh,317898,160200,157698,391,31662,32881,37702,29209,26042,25147,22385,22501,19174,16335,12965,11281,12202,7437,5572,2251,2366,776
22,22,Subarnapur,477850,243055,234795,392,41907,41736,49293,50614,44407,39525,34083,33131,28754,24443,20354,17677,19376,13070,9507,4054,4805,1105
23,23,Balangir,1232209,621069,611140,393,114426,116607,125712,117697,104610,96476,87501,87293,78662,67867,54682,46132,49856,33241,24859,10816,12713,3051
24,24,Nuapada,469637,233978,235659,394,47775,50183,52485,41391,37516,35383,32297,31450,28588,25138,19952,16807,20678,12399,8612,3675,4299,1001
25,25,Kalahandi,1131870,565747,566123,395,111228,121349,125664,98655,88957,85920,80890,82153,72724,62674,49789,40593,43234,27139,19581,8434,9003,3874
26,26,Rayagada  ,721010,355506,365504,396,74235,93612,80856,64506,59976,57051,49073,49976,45337,38687,29468,21347,23580,15253,9160,2935,3156,2794
27,27,Nabarangapur ,852956,428373,424583,397,99935,111281,99548,73556,68410,67869,57895,57930,48835,43207,32208,25139,26208,16913,11056,4137,4330,4489
28,28,Koraput,1031935,516338,515597,398,115093,132024,111822,87622,84840,80869,69841,70842,64107,56102,41549,32088,37162,22898,12777,4362,4145,3784
29,29,Malkangiri  ,443406,222062,221344,399,54054,61265,50433,37175,36469,36767,30258,29116,25522,20932,15287,11315,14726,9186,5609,1935,2162,1185
