,Unnamed: 0,Subdistcode,Subdistrict,Districtcode,Population,Males,Females,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,2755,Paikamal,370,74946,37288,37658,5851,5856,7185,7605,6985,6336,5663,5639,5066,4374,3553,2885,2855,2001,1566,686,740,90
1,1,2756,Jharbandha,370,84535,41761,42774,6600,6606,8104,8578,7879,7147,6388,6361,5715,4934,4007,3254,3221,2258,1766,774,834,102
2,2,2757,Padmapur,370,66257,33317,32940,5173,5177,6352,6723,6175,5602,5006,4985,4479,3867,3141,2551,2524,1769,1384,606,654,80
3,3,2758,BurdenP.S.,370,27118,13405,13713,2117,2119,2599,2751,2527,2292,2049,2040,1833,1582,1285,1044,1033,724,566,248,267,32
4,4,2759,Gaisilet,370,63146,31600,31546,4930,4934,6053,6408,5885,5339,4771,4751,4269,3685,2993,2431,2406,1686,1319,578,623,76
5,5,2760,Melchhamunda,370,57271,28745,28526,4471,4475,5490,5811,5337,4842,4327,4309,3871,3342,2715,2205,2182,1529,1197,524,565,69
6,6,2761,Sohela,370,85261,43213,42048,6656,6662,8173,8652,7946,7208,6443,6415,5764,4976,4042,3282,3248,2277,1782,780,841,103
7,7,2762,Bijepur,370,87550,44125,43425,6835,6841,8393,8884,8160,7402,6616,6588,5919,5110,4150,3371,3336,2338,1830,801,864,106
8,8,2763,Barapali,370,104590,53485,51105,8165,8173,10027,10613,9748,8843,7903,7870,7071,6104,4958,4027,3985,2793,2186,957,1032,126
9,9,2764,Bheden,370,103879,53051,50828,8110,8117,9958,10541,9682,8783,7849,7816,7023,6063,4924,3999,3958,2774,2171,951,1025,125
10,10,2765,Bargarh,370,133830,68879,64951,10448,10458,12830,13581,12473,11315,10113,10070,9048,7811,6344,5152,5099,3574,2797,1225,1321,162
11,11,2766,Bargarh Sadar ,370,63916,32693,31223,4990,4994,6127,6486,5957,5404,4830,4809,4321,3730,3030,2461,2435,1707,1336,585,631,77
12,12,2767,Bhatli,370,73646,37110,36536,5749,5755,7060,7473,6864,6226,5565,5541,4979,4298,3491,2835,2806,1967,1539,674,727,89
13,13,2768,Ambabhona,370,53583,26985,26598,4183,4187,5137,5437,4994,4530,4049,4032,3622,3127,2540,2063,2041,1431,1120,490,529,64
14,14,2769,Attabira,370,128256,65186,63070,10013,10022,12295,13015,11954,10844,9692,9651,8671,7486,6080,4938,4887,3425,2680,1174,1266,155
15,15,2770,Rengali,371,45941,23271,22670,3606,3790,4428,4614,4692,4248,3581,3428,3002,2630,2052,1620,1511,1033,773,385,436,104
16,16,2771,Lakhanpur,371,26148,13119,13029,2052,2157,2520,2626,2670,2418,2038,1951,1708,1497,1168,922,860,588,440,219,248,59
