,Unnamed: 0,Districtcode,Population,Males,Females,District,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Age not stated
0,0,370,1618588,818620,799968,Bargarh,126372,126484,155174,164255,150861,136853,122314,121797,109429,94477,76735,62321,61674,43235,33832,14821,15984,1961
1,1,371,647428,331462,315966,Jharsuguda,50820,53423,62402,65028,66133,59872,50468,48317,42313,37070,28926,22835,21293,14567,10901,5428,6152,1471
2,2,372,1153678,583854,569824,Sambalpur,91127,98007,111914,113744,110807,101269,87069,85505,77106,67882,54096,43312,41464,27082,20880,9605,10475,2324
3,3,373,351902,178171,173731,Debagarh,31161,33711,38663,33536,31295,29879,25972,25104,21967,19051,15403,12962,12865,7928,6198,2566,2866,765
4,4,374,2351719,1192068,1159651,Sundargarh,204919,230373,245476,228175,221294,205363,178199,176141,154793,134828,101128,79135,72153,47678,34345,14731,15291,7689
5,5,375,2031353,1022016,1009337,Kendujhar,202846,219638,210771,182932,181729,173372,148943,143192,128493,112548,87618,68847,66117,40283,29592,12848,13478,8099
6,6,376,2843446,1417601,1425845,Mayurbhanj,267975,319777,323146,259351,239472,226251,193900,197433,181102,161220,127304,99697,95820,60818,44196,19502,19931,6542
7,7,377,2636981,1347495,1289486,Baleshwar,224385,258969,276638,243994,238479,239163,203279,194175,165403,144617,114037,87581,83528,59812,47505,24616,26796,3994
8,8,378,1714951,865551,849400,Bhadrak,145623,159329,184952,167937,159882,148466,126655,121007,106668,93810,76405,57181,52323,38348,35338,17790,19172,4055
9,9,379,1588034,791409,796625,Kendrapara ,123967,136097,161255,149392,143737,135909,115276,110834,98678,88171,73349,60700,58997,43849,39114,22478,22228,3995
10,10,380,1245363,632957,612406,Jagatsinghapur ,84500,93619,111913,111027,115589,116338,97133,92559,84109,73581,61987,50670,46811,33655,31426,17928,19035,3476
11,11,381,2910602,1500246,1410356,Cuttack,211448,228187,264659,272671,277453,267494,230560,225129,197237,171176,135154,110178,102408,72087,62140,34650,37775,10185
12,12,382,2052787,1040369,1012418,Jajapur  ,169600,182156,204253,195837,199946,183069,152789,146862,127165,111763,90774,74625,71731,48422,42435,22032,23762,5557
13,13,383,1313592,674624,638968,Dhenkanal,107821,114897,128442,123041,119172,113297,101659,99342,85116,73148,59809,50542,50043,32949,26354,12254,12964,2734
14,14,384,1465648,755346,710302,Anugul  ,122836,132946,154426,140415,137845,126715,114455,110278,94873,80248,63154,50820,49875,31843,25428,11257,13290,4936
15,15,385,1049794,548058,501736,Nayagarh  ,80932,91303,102802,92800,89393,90281,79717,79756,67369,58926,47740,43078,44389,29198,23659,12202,14525,1715
16,16,386,2625067,1360683,1264384,Khordha ,191971,216923,237963,246289,260143,245145,216706,210905,179733,154344,120804,97037,84920,55643,45616,23813,28820,8283
17,17,387,1893233,964464,928769,Puri,134744,152209,179896,171962,180980,170031,145714,144578,129262,112539,88933,70539,67968,49321,42348,22645,24540,5015
18,18,388,3942623,1987739,1954884,Ganjam,322858,380173,433415,393298,357055,325508,286286,283685,251638,211524,169353,135405,138125,91307,76683,34753,39490,12059
19,19,389,621271,304516,316755,Gajapati,62977,77269,71774,58817,52183,48337,41935,42871,38060,32008,24575,19308,20736,12022,8427,3140,3257,3564
20,20,390,829189,407117,422072,Kandhamal,84397,102978,97721,72896,70410,65444,53509,54340,50191,42688,33637,27817,32862,17822,11636,4734,4701,1399
21,21,391,500741,251556,249185,Baudh,49872,51793,59386,46010,41021,39612,35261,35443,30203,25730,20422,17770,19220,11715,8777,3545,3727,1223
22,22,392,675624,344700,330924,Subarnapur,59252,59010,69694,71562,62787,55885,48189,46844,40655,34560,28778,24993,27396,18479,13441,5732,6794,1563
23,23,393,1822921,917652,905269,Balangir,169282,172508,185978,174120,154759,142726,129449,129141,116371,100402,80896,68247,73757,49176,36776,16001,18808,4514
24,24,394,677649,335239,342410,Nuapada,68935,72410,75732,59724,54133,51056,46603,45380,41250,36272,28789,24251,29836,17890,12427,5303,6203,1444
25,25,395,1793078,895025,898053,Kalahandi,176204,192238,199074,156287,140923,136113,128144,130145,115208,99287,78874,64307,68491,42993,31020,13362,14262,6138
26,26,396,1086911,529987,556924,Rayagada  ,111908,141119,121890,97242,90413,86004,73977,75338,68345,58320,44423,32181,35546,22994,13808,4425,4757,4212
27,27,397,1401216,694110,707106,Nabarangapur ,164171,182811,163536,120836,112383,111495,95110,95167,80226,70980,52911,41298,43054,27784,18162,6796,7114,7375
28,28,398,1545121,760227,784894,Koraput,172329,197680,167432,131197,127032,121085,104574,106072,95988,84002,62211,48046,55643,34285,19131,6531,6207,5666
29,29,399,690054,341683,348371,Malkangiri  ,84121,95345,78487,57855,56755,57219,47090,45313,39720,32576,23790,17609,22917,14296,8730,3012,3365,1845
